course_id,course_name,category,domain,difficulty_level,tags,prerequisites,description,instructor,enrollment_count,price,price_category,rating,duration_weeks,estimated_hours,popularity_score,,
HR015,Strategic HR Planning,Strategy,Business,Advanced,"Workforce Planning, Succession Planning, Organizational Design",HR Fundamentals,Align HR strategy with business objectives,Prof. Angela Brown,800,94.99,Premium,4.5,10,50,3.6,,
PM003,Data-Driven Product Management,Analytics,Product Management,Advanced,"Product Analytics, A/B Testing, User Metrics, Data Visualization","Product Strategy, Excel for Business",Use data to drive product decisions,Dr. Michelle Garcia,1200,109.99,Premium,4.6,12,60,5.52,,
PM004,User Research Methods,Research,Product Management,Intermediate,"Interview Techniques, Survey Design, Usability Testing, Persona Development",Product Strategy,Conduct effective user research,Prof. Daniel Thompson,1400,79.99,Mid-range,4.4,8,40,6.16,,
PM005,Product Marketing,Marketing,Product Management,Intermediate,"Go-to-Market, Positioning, Messaging, Launch Planning, Competitive Intelligence",Product Strategy,Market products effectively to target audiences,Dr. Sarah Wilson,1600,84.99,Premium,4.5,10,50,7.2,,
PM006,Technical Product Management,Technical,Product Management,Advanced,"API Design, Technical Specifications, Engineering Collaboration","Product Strategy, Basic Programming",Manage technical products and work with engineering teams,Prof. Kevin Martinez,1000,119.99,Premium,4.7,14,70,4.7,,
PM007,Product Lifecycle Management,Lifecycle,Product Management,Advanced,"Innovation, Growth Strategies, Maturity Management, End-of-Life Planning",Product Strategy,Manage products through their entire lifecycle,Dr. Jennifer Kim,800,99.99,Premium,4.3,12,60,3.44,,
PM008,Mobile Product Management,Mobile,Product Management,Advanced,"App Store Optimization, Mobile UX, Push Notifications, App Analytics",Product Strategy,Manage mobile products and applications,Carlos Rodriguez,1200,94.99,Premium,4.4,10,50,5.28,,
PM009,SaaS Product Management,SaaS,Product Management,Advanced,"Subscription Models, Churn Analysis, Feature Adoption, Customer Success",Product Strategy,Manage Software-as-a-Service products,Dr. Amanda Chen,1000,109.99,Premium,4.6,12,60,4.6,,
PM010,Product Operations,Operations,Product Management,Intermediate,"Process Optimization, Tool Selection, Team Coordination, Performance Metrics",Product Strategy,Optimize product development operations,Prof. Lisa Davis,900,74.99,Mid-range,4.2,8,40,3.78,,
PM011,Platform Product Management,Platform,Product Management,Advanced,"Platform Strategy, API Management, Developer Relations, Ecosystem Building",Product Strategy,Build and manage product platforms,Dr. Michael Brown,600,129.99,Premium,4.5,14,70,2.7,,
PM012,Growth Product Management,Growth,Product Management,Advanced,"Growth Hacking, Funnel Optimization, Retention Strategies, Viral Mechanics","Product Strategy, Data-Driven Product Management",Drive product growth and user acquisition,Maria Martinez,1100,99.99,Premium,4.7,10,50,5.17,,
PM013,Enterprise Product Management,Enterprise,Product Management,Advanced,"B2B Sales, Enterprise Sales Cycles, Stakeholder Management, Compliance",Product Strategy,Manage products for enterprise customers,Dr. Robert Garcia,700,114.99,Premium,4.3,12,60,3.01,,
PM014,Product Design Collaboration,Design,Product Management,Intermediate,"Design Systems, Prototyping, User Testing, Design-Dev Handoff","Product Strategy, UX Principles",Collaborate effectively with design teams,Prof. Steven Kim,1300,69.99,Mid-range,4.4,6,30,5.72,,
PM015,International Product Management,International,Product Management,Advanced,"Localization, Global Markets, Cultural Adaptation, Regulatory Compliance",Product Strategy,Manage products across international markets,Dr. Angela Wilson,500,104.99,Premium,4.2,10,50,2.1,,
PF003,Algorithms and Complexity,Programming,Computer Science,Advanced,"Algorithm Design, Time Complexity, Space Complexity, Optimization",Data Structures,Master algorithm design and analysis,Prof. David Chen,1200,94.99,Premium,4.7,14,70,5.64,,
PF004,Database Design,Database,Computer Science,Intermediate,"Relational Design, Normalization, SQL, Database Optimization",Basic Programming,Design efficient database systems,Dr. Sarah Rodriguez,1800,74.99,Mid-range,4.4,10,50,7.92,,
PF005,Software Engineering,Engineering,Computer Science,Advanced,"SDLC, Design Patterns, Testing, Version Control, Documentation","OOP Concepts, Data Structures",Comprehensive software engineering practices,Prof. Michael Kim,1400,109.99,Premium,4.6,16,80,6.44,,
PF006,Computer Networks,Networking,Computer Science,Intermediate,"Network Protocols, Socket Programming, Distributed Systems",Basic Programming,Understand computer networking fundamentals,Dr. Jennifer Martinez,1000,79.99,Mid-range,4.3,12,60,4.3,,
PF007,Operating Systems,Systems,Computer Science,Advanced,"Process Management, Memory Management, File Systems, Concurrency",Data Structures,Deep dive into operating system concepts,Prof. Robert Thompson,900,99.99,Premium,4.5,14,70,4.05,,
PF008,Compiler Design,Systems,Computer Science,Advanced,"Lexical Analysis, Parsing, Code Generation, Optimization","Algorithms and Complexity, Programming Languages",Build compilers and interpreters,Dr. Lisa Wilson,600,129.99,Premium,4.7,16,80,2.82,,
PF009,Computer Graphics,Graphics,Computer Science,Advanced,"3D Mathematics, Rendering, OpenGL, Shaders, Animation","Linear Algebra, OOP Concepts",Create computer graphics and visualizations,Prof. Carlos Davis,800,119.99,Premium,4.6,12,60,3.68,,
PF010,Machine Learning Theory,Theory,Computer Science,Advanced,"Mathematical Foundations, Optimization, Information Theory","Statistics, Linear Algebra",Theoretical foundations of machine learning,Dr. Amanda Garcia,700,139.99,Premium,4.8,14,70,3.36,,
PF011,Distributed Systems,Systems,Computer Science,Advanced,"Consensus, Replication, Fault Tolerance, Scalability","Computer Networks, Database Design",Build large-scale distributed systems,Prof. Kevin Brown,500,149.99,Premium,4.7,16,80,2.35,,
PF012,Information Security,Security,Computer Science,Advanced,"Cryptography, Network Security, System Security, Privacy","Computer Networks, Operating Systems",Comprehensive information security principles,Dr. Steven Martinez,800,109.99,Premium,4.5,12,60,3.6,,
PF013,Human-Computer Interaction,HCI,Computer Science,Intermediate,"User Interface Design, Usability, Interaction Design, Evaluation Methods",OOP Concepts,Design effective human-computer interfaces,Maria Chen,1200,84.99,Premium,4.4,10,50,5.28,,
PF014,Software Testing,Testing,Computer Science,Intermediate,"Unit Testing, Integration Testing, Test Automation, Quality Assurance",Software Engineering,Comprehensive software testing methodologies,Dr. Jennifer Rodriguez,1400,69.99,Mid-range,4.3,8,40,6.02,,
PF015,Mobile App Development,Mobile,Computer Science,Intermediate,"iOS Development, Android Development, Cross-Platform, App Deployment",OOP Concepts,Develop mobile applications for multiple platforms,Prof. Robert Kim,1600,89.99,Premium,4.5,12,60,7.2,,
MA001,Calculus I,Calculus,Mathematics,Beginner,"Limits, Derivatives, Applications of Derivatives, Integration",Basic Math,Foundation calculus for STEM fields,Prof. Elizabeth Johnson,2200,64.99,Mid-range,4.4,12,60,9.68,,
MA002,Calculus II,Calculus,Mathematics,Intermediate,"Integration Techniques, Series, Parametric Equations, Polar Coordinates",Calculus I,Advanced calculus concepts and applications,Dr. Michael Davis,1800,69.99,Mid-range,4.3,12,60,7.74,,
MA003,Linear Algebra,Algebra,Mathematics,Intermediate,"Matrices, Vector Spaces, Eigenvalues, Linear Transformations",Calculus I,Essential linear algebra for data science and engineering,Prof. Sarah Wilson,2000,74.99,Mid-range,4.6,10,50,9.2,,
MA004,Differential Equations,Equations,Mathematics,Advanced,"First-Order ODEs, Second-Order ODEs, Laplace Transforms, Systems",Calculus II,Solve differential equations and model real-world phenomena,Dr. Robert Chen,1200,84.99,Premium,4.5,12,60,5.4,,
MA005,Discrete Mathematics,Discrete,Mathematics,Intermediate,"Logic, Set Theory, Combinatorics, Graph Theory, Number Theory",Basic Math,Mathematical foundations for computer science,Prof. Jennifer Martinez,1600,69.99,Mid-range,4.4,10,50,7.04,,
MA006,Abstract Algebra,Algebra,Mathematics,Advanced,"Groups, Rings, Fields, Galois Theory",Linear Algebra,Advanced algebraic structures and theory,Dr. Kevin Rodriguez,600,99.99,Premium,4.7,14,70,2.82,,
MA007,Real Analysis,Analysis,Mathematics,Advanced,"Sequences, Series, Continuity, Differentiation, Integration, Topology",Calculus II,Rigorous mathematical analysis,Prof. Amanda Thompson,500,119.99,Premium,4.8,16,80,2.4,,
MA008,Complex Analysis,Analysis,Mathematics,Advanced,"Complex Numbers, Analytic Functions, Contour Integration, Residue Theorem",Real Analysis,Analysis of complex-valued functions,Dr. Lisa Garcia,400,109.99,Premium,4.6,12,60,1.84,,
MA009,Topology,Topology,Mathematics,Advanced,"Metric Spaces, Topological Spaces, Continuity, Compactness, Connectedness",Real Analysis,Study of topological properties and spaces,Prof. Carlos Kim,300,129.99,Premium,4.5,14,70,1.35,,
MA010,Number Theory,Number Theory,Mathematics,Advanced,"Prime Numbers, Congruences, Quadratic Residues, Cryptographic Applications",Abstract Algebra,Properties and relationships of integers,Dr. Steven Brown,350,114.99,Premium,4.7,12,60,1.65,,
MA011,Probability Theory,Probability,Mathematics,Intermediate,"Sample Spaces, Random Variables, Distributions, Central Limit Theorem",Calculus II,Mathematical foundations of probability,Prof. Maria Rodriguez,1800,79.99,Mid-range,4.4,10,50,7.92,,
MA012,Mathematical Statistics,Statistics,Mathematics,Advanced,"Estimation, Hypothesis Testing, Confidence Intervals, Regression Analysis",Probability Theory,Statistical inference and mathematical methods,Dr. Angela Wilson,1200,94.99,Premium,4.5,12,60,5.4,,
MA013,Numerical Analysis,Numerical,Mathematics,Advanced,"Numerical Methods, Error Analysis, Interpolation, Integration, ODEs","Linear Algebra, Programming",Computational methods for mathematical problems,Prof. David Davis,800,89.99,Premium,4.3,12,60,3.44,,
MA014,Optimization Theory,Optimization,Mathematics,Advanced,"Linear Programming, Nonlinear Optimization, Convex Optimization",Calculus II,Mathematical optimization techniques and applications,Dr. Jennifer Chen,600,109.99,Premium,4.6,14,70,2.76,,
MA015,Applied Mathematics,Applied,Mathematics,Advanced,"Mathematical Modeling, Physical Applications, Engineering Mathematics","Differential Equations, Linear Algebra",Apply mathematics to real-world problems,Prof. Robert Martinez,900,94.99,Premium,4.4,12,60,3.96,,
PH001,General Physics I,Mechanics,Physics,Beginner,"Mechanics, Kinematics, Dynamics, Energy, Momentum, Rotational Motion",Calculus I,Foundation physics covering classical mechanics,Prof. Thomas Anderson,1600,74.99,Mid-range,4.3,14,70,6.88,,
PH002,General Physics II,Waves,Physics,Intermediate,"Waves, Sound, Thermodynamics, Kinetic Theory, Heat Transfer",General Physics I,Physics of waves, thermodynamics,Dr. Sarah Johnson,4.4,1200, and heat,14,70,79.99,Mid-range,5.28
PH003,General Physics III,Electricity,Physics,Intermediate,"Electrostatics, Electric Circuits, Magnetism, Electromagnetic Induction",General Physics II,Electricity, magnetism,Prof. Michael Wilson,4.5,1000, and electromagnetic phenomena,14,70,84.99,Premium,4.5
PH004,Modern Physics,Modern,Physics,Advanced,"Relativity, Quantum Mechanics, Atomic Physics, Nuclear Physics",General Physics III,20th century physics discoveries and theories,Dr. Jennifer Rodriguez,800,99.99,Premium,4.6,12,60,3.68,,
PH005,Quantum Mechanics,Quantum,Physics,Advanced,"Wave Functions, Schrödinger Equation, Operators, Quantum Systems",Modern Physics,Fundamental quantum mechanical principles,Prof. Robert Kim,600,129.99,Premium,4.7,16,80,2.82,,
PH006,Statistical Mechanics,Statistical,Physics,Advanced,"Ensembles, Partition Functions, Phase Transitions, Critical Phenomena","Thermodynamics, Probability Theory",Statistical approach to thermodynamics and matter,Dr. Lisa Chen,400,119.99,Premium,4.5,14,70,1.8,,
PH007,Electrodynamics,Electromagnetism,Physics,Advanced,"Maxwell Equations, Wave Propagation, Radiation, Relativistic Electrodynamics",General Physics III,Advanced electromagnetic theory,Prof. Carlos Martinez,350,139.99,Premium,4.8,16,80,1.68,,
PH008,Solid State Physics,Condensed Matter,Physics,Advanced,"Crystal Structure, Electronic Properties, Semiconductors, Superconductivity",Quantum Mechanics,Physics of solids and condensed matter,Dr. Amanda Garcia,300,124.99,Premium,4.6,14,70,1.38,,
PH009,Astrophysics,Astronomy,Physics,Advanced,"Stellar Physics, Galaxies, Cosmology, Black Holes, Dark Matter",Modern Physics,Physics of astronomical objects and phenomena,Prof. Steven Thompson,500,109.99,Premium,4.7,12,60,2.35,,
PH010,Particle Physics,Particles,Physics,Advanced,"Standard Model, Elementary Particles, Symmetries, Gauge Theories",Quantum Mechanics,Physics of fundamental particles and forces,Dr. Maria Brown,250,149.99,Premium,4.8,16,80,1.2,,
CH001,General Chemistry I,General,Chemistry,Beginner,"Atomic Structure, Chemical Bonding, Stoichiometry, Gas Laws",Basic Math,Foundation chemistry principles and concepts,Prof. David Rodriguez,2000,69.99,Mid-range,4.2,12,60,8.4,,
CH002,General Chemistry II,General,Chemistry,Intermediate,"Solutions, Kinetics, Equilibrium, Thermodynamics, Electrochemistry",General Chemistry I,Advanced general chemistry topics,Dr. Sarah Martinez,1500,74.99,Mid-range,4.3,12,60,6.45,,
CH003,Organic Chemistry I,Organic,Chemistry,Intermediate,"Hydrocarbons, Functional Groups, Reactions, Stereochemistry",General Chemistry II,Introduction to organic chemistry principles,Prof. Jennifer Wilson,1200,89.99,Premium,4.4,14,70,5.28,,
CH004,Organic Chemistry II,Organic,Chemistry,Advanced,"Advanced Reactions, Synthesis, Spectroscopy, Biomolecules",Organic Chemistry I,Advanced organic chemistry and synthesis,Dr. Michael Kim,1000,99.99,Premium,4.5,14,70,4.5,,
CH005,Physical Chemistry,Physical,Chemistry,Advanced,"Thermodynamics, Quantum Chemistry, Kinetics, Statistical Mechanics","General Chemistry II, Calculus II",Mathematical foundations of chemistry,Prof. Lisa Thompson,600,119.99,Premium,4.6,16,80,2.76,,
CH006,Analytical Chemistry,Analytical,Chemistry,Advanced,"Instrumental Analysis, Spectroscopy, Chromatography, Electroanalysis",General Chemistry II,Modern analytical techniques and instrumentation,Dr. Robert Chen,800,94.99,Premium,4.4,12,60,3.52,,
CH007,Inorganic Chemistry,Inorganic,Chemistry,Advanced,"Coordination Compounds, Solid State, Organometallics, Bioinorganics",General Chemistry II,Chemistry of inorganic compounds and materials,Prof. Amanda Davis,500,89.99,Premium,4.3,12,60,2.15,,
CH008,Biochemistry,Biochemistry,Chemistry,Advanced,"Proteins, Enzymes, Metabolism, Nucleic Acids, Molecular Biology",Organic Chemistry II,Chemistry of biological systems,Dr. Carlos Garcia,900,109.99,Premium,4.7,14,70,4.23,,
CH009,Environmental Chemistry,Environmental,Chemistry,Advanced,"Pollution, Atmospheric Chemistry, Water Chemistry, Green Chemistry",General Chemistry II,Chemistry of environmental processes,Prof. Maria Rodriguez,700,84.99,Premium,4.2,10,50,2.94,,
CH010,Materials Chemistry,Materials,Chemistry,Advanced,"Polymers, Nanomaterials, Electronic Materials, Characterization",Physical Chemistry,Chemistry of advanced materials,Dr. Steven Martinez,400,99.99,Premium,4.5,12,60,1.8,,
BI001,General Biology I,General,Biology,Beginner,"Cell Biology, Genetics, Evolution, Ecology, Scientific Method",Basic Math,Foundation biology principles and concepts,Prof. Emily Johnson,2400,64.99,Mid-range,4.3,12,60,10.32,,
BI002,General Biology II,General,Biology,Intermediate,"Plant Biology, Animal Biology, Physiology, Development, Behavior",General Biology I,Advanced general biology topics,Dr. James Wilson,1800,69.99,Mid-range,4.4,12,60,7.92,,
BI003,Microbiology,Microbiology,Biology,Intermediate,"Bacteria, Viruses, Fungi, Microbial Genetics, Medical Microbiology",General Biology I,Study of microorganisms and their applications,Prof. Sarah Chen,1200,79.99,Mid-range,4.5,10,50,5.4,,
BI004,Molecular Biology,Molecular,Biology,Advanced,"DNA, RNA, Proteins, Gene Expression, Biotechnology",General Biology II,Molecular mechanisms of biological processes,Dr. Michael Rodriguez,1000,99.99,Premium,4.6,14,70,4.6,,
BI005,Cell Biology,Cell,Biology,Advanced,"Cell Structure, Organelles, Cell Cycle, Signal Transduction",General Biology II,Detailed study of cellular processes,Prof. Jennifer Martinez,900,89.99,Premium,4.5,12,60,4.05,,
BI006,Genetics,Genetics,Biology,Intermediate,"Mendelian Genetics, Population Genetics, Molecular Genetics, Genomics",General Biology I,Principles of heredity and genetic variation,Dr. Robert Kim,1400,74.99,Mid-range,4.4,10,50,6.16,,
BI007,Ecology,Ecology,Biology,Intermediate,"Ecosystems, Population Dynamics, Community Ecology, Conservation",General Biology I,Study of organisms and their environment,Prof. Lisa Thompson,1100,69.99,Mid-range,4.3,12,60,4.73,,
BI008,Evolution,Evolution,Biology,Intermediate,"Natural Selection, Phylogenetics, Speciation, Evolutionary History",General Biology I,Mechanisms and patterns of evolutionary change,Dr. Amanda Garcia,800,64.99,Mid-range,4.6,8,40,3.68,,
BI009,Anatomy and Physiology,Anatomy,Biology,Advanced,"Human Body Systems, Homeostasis, Disease, Medical Applications",General Biology II,Structure and function of the human body,Prof. Carlos Davis,1600,109.99,Premium,4.7,16,80,7.52,,
BI010,Neurobiology,Neuroscience,Biology,Advanced,"Nervous System, Brain Function, Behavior, Neurological Disorders",Anatomy and Physiology,Biology of the nervous system,Dr. Maria Brown,600,119.99,Premium,4.8,14,70,2.88,,
EG001,Introduction to Engineering,General,Engineering,Beginner,"Engineering Design, Problem Solving, Ethics, Communication",Basic Math,Overview of engineering disciplines and practices,Prof. John Anderson,1800,59.99,Mid-range,4.2,8,40,7.56,,
EG002,Engineering Mechanics,Mechanics,Engineering,Intermediate,"Statics, Dynamics, Strength of Materials, Structural Analysis",Calculus I,Fundamental mechanics for engineering applications,Dr. Sarah Johnson,1400,79.99,Mid-range,4.4,12,60,6.16,,
EG003,Thermodynamics,Thermodynamics,Engineering,Intermediate,"Heat Engines, Refrigeration, Power Cycles, Energy Systems","Calculus II, General Physics II",Engineering thermodynamics and energy conversion,Prof. Michael Wilson,1200,74.99,Mid-range,4.3,10,50,5.16,,
EG004,Fluid Mechanics,Fluids,Engineering,Advanced,"Fluid Statics, Fluid Dynamics, Pipe Flow, Turbomachinery","Engineering Mechanics, Calculus II",Engineering analysis of fluid systems,Dr. Jennifer Rodriguez,1000,89.99,Premium,4.5,12,60,4.5,,
EG005,Heat Transfer,Heat,Engineering,Advanced,"Conduction, Convection, Radiation, Heat Exchangers",Thermodynamics,Heat transfer mechanisms and applications,Prof. Robert Kim,800,84.99,Premium,4.4,10,50,3.52,,
EG006,Control Systems,Control,Engineering,Advanced,"System Modeling, Feedback Control, Stability, PID Controllers","Calculus II, Linear Algebra",Design and analysis of control systems,Dr. Lisa Chen,700,99.99,Premium,4.6,12,60,3.22,,
EG007,Circuit Analysis,Circuits,Engineering,Intermediate,"DC Circuits, AC Circuits, Network Analysis, Electronic Components","Calculus I, General Physics III",Analysis of electrical circuits and networks,Prof. Carlos Martinez,1500,69.99,Mid-range,4.3,10,50,6.45,,
EG008,Digital Logic Design,Digital,Engineering,Intermediate,"Boolean Algebra, Logic Gates, Sequential Circuits, Computer Architecture",Basic Programming,Design of digital systems and computers,Dr. Amanda Garcia,1200,74.99,Mid-range,4.4,8,40,5.28,,
EG009,Materials Science,Materials,Engineering,Advanced,"Crystal Structure, Mechanical Properties, Phase Diagrams, Material Selection",General Chemistry I,Properties and applications of engineering materials,Prof. Steven Thompson,900,89.99,Premium,4.5,12,60,4.05,,
EG010,Engineering Economics,Economics,Engineering,Intermediate,"Time Value of Money, Present Worth, Rate of Return, Decision Analysis",Basic Math,Economic analysis for engineering projects,Dr. Maria Brown,1300,59.99,Mid-range,4.2,6,30,5.46,,
DS004,Deep Learning Fundamentals,Machine Learning,AI/ML,Advanced,"Neural Networks, CNN, RNN, PyTorch, TensorFlow",ML Basics Python Linear Algebra,Comprehensive deep learning course with hands-on projects,Dr. Kevin Zhang,1850,129.99,Premium,4.8,,,,,
DS005,Advanced Neural Networks,Machine Learning,AI/ML,Expert,"Deep CNNs, LSTM, GAN, Transformer Models, Keras","Deep Learning Fundamentals, Python, Statistics",Master complex neural architectures and cutting-edge AI models,Dr. Sarah Chen,1420,149.99,Premium,4.2,,,,,
DS006,Computer Vision with Deep Learning,Machine Learning,AI/ML,Advanced,"Image Processing, Object Detection, CNN, OpenCV, YOLO","Deep Learning Fundamentals, Python, Linear Algebra",Build intelligent vision systems using deep learning techniques,Prof. Michael Rodriguez,1680,139.99,Premium,4.3,,,,,
DS007,Natural Language Processing Deep Dive,Machine Learning,AI/ML,Advanced,"NLP, BERT, GPT, Text Classification, Sentiment Analysis","Deep Learning Fundamentals, Python, Statistics",Transform text data into intelligent applications,Dr. Amanda Liu,1540,134.99,Premium,4.4,,,,,
DS008,Reinforcement Learning Mastery,Machine Learning,AI/ML,Expert,"Q-Learning, Policy Gradients, Deep Q-Networks, OpenAI Gym","Deep Learning Fundamentals, Python, Probability",Create AI agents that learn through interaction and rewards,Dr. James Park,1290,159.99,Premium,4.5,,,,,
DS009,MLOps and Model Deployment,Machine Learning,AI/ML,Advanced,"Docker, Kubernetes, MLflow, Model Monitoring, CI/CD","Deep Learning Fundamentals, Python, Cloud Basics",Deploy and scale machine learning models in production,Prof. Lisa Thompson,1750,124.99,Premium,4.6,,,,,
WD001,HTML5 Fundamentals,Frontend,Web Development,Beginner,"HTML5 Tags, Semantic HTML, Forms, Accessibility",None,Master the building blocks of web development with HTML5,Lisa Martinez,4200,39.99,Budget,4.4,,,,,
WD005,HTML5 Advanced Techniques,Frontend,Web Development,Intermediate,"Canvas API, Web Storage, Geolocation, Web Workers, PWA",HTML5 Fundamentals,Unlock the full potential of HTML5 with advanced features,Carlos Garcia,3850,49.99,Budget,4.3,,,,,
WD006,Semantic Web Development,Frontend,Web Development,Beginner,"Microdata, Schema.org, ARIA, SEO Optimization, Web Standards",None,Build accessible and search-engine friendly web applications,Jennifer Wong,3920,44.99,Budget,4.7,,,,,
WD007,Progressive Web Apps Basics,Frontend,Web Development,Intermediate,"Service Workers, App Manifests, Offline Functionality, Push Notifications",HTML5 Fundamentals,Create app-like experiences with progressive web technologies,Robert Kumar,3650,54.99,Mid-range,4.2,,,,,
WD008,Web Accessibility Fundamentals,Frontend,Web Development,Beginner,"WCAG Guidelines, Screen Readers, Keyboard Navigation, Color Contrast",HTML5 Fundamentals,Design inclusive web experiences for all users,Maria Gonzalez,4100,42.99,Budget,4.5,,,,,
WD009,Mobile-First HTML Development,Frontend,Web Development,Intermediate,"Responsive Images, Touch Events, Viewport Meta, Mobile Optimization",HTML5 Fundamentals,Optimize HTML5 for mobile devices and touch interfaces,Alex Johnson,3780,47.99,Budget,4.3,,,,,
WD002,Web Design Basics,Design,Web Development,Beginner,"CSS3, Responsive Design, Flexbox, Grid Layout",HTML5 Fundamentals,Create beautiful and responsive web designs,Carlos Rodriguez,3100,54.99,Mid-range,4.4,,,,,
WD010,Advanced CSS Styling,Design,Web Development,Intermediate,"CSS Animations, Transforms, Custom Properties, Sass/SCSS","HTML5 Fundamentals, Web Design Basics",Master advanced CSS techniques for stunning web interfaces,Sophie Laurent,2890,64.99,Mid-range,4.5,,,,,
WD011,UI/UX Design Principles,Design,Web Development,Beginner,"Color Theory, Typography, User Research, Wireframing, Prototyping",HTML5 Fundamentals,Learn fundamental design principles for better user experiences,Nathan Brooks,3350,59.99,Mid-range,4.6,,,,,
WD012,CSS Grid Layout Mastery,Design,Web Development,Intermediate,"Grid Systems, Complex Layouts, Responsive Grids, Browser Support","HTML5 Fundamentals, Web Design Basics",Build complex responsive layouts with CSS Grid,Isabella Chen,2720,52.99,Mid-range,4.5,,,,,
WD013,Modern CSS Architecture,Design,Web Development,Advanced,"BEM Methodology, CSS Modules, Styled Components, Design Systems","Web Design Basics, CSS3 Knowledge",Structure and organize CSS for large-scale applications,Diego Martinez,2450,74.99,Mid-range,4.4,,,,,
WD014,Animation and Interaction Design,Design,Web Development,Intermediate,"CSS Animations, JavaScript Transitions, GSAP, Motion Design","Web Design Basics, Basic JavaScript",Bring your designs to life with engaging animations,Rachel Kim,2980,69.99,Mid-range,4.3,,,,,
WD003,JavaScript Essentials,Programming,Web Development,Beginner,"JavaScript Syntax, DOM Manipulation, Event Handling, AJAX","HTML5 Fundamentals, Web Design Basics",Dynamic web development with JavaScript,Emma Thompson,2800,69.99,Mid-range,4.6,,,,,
WD015,JavaScript Advanced Concepts,Programming,Web Development,Intermediate,"Closures, Prototypes, Async/Await, ES6+ Features, Modules",JavaScript Essentials,Deep dive into advanced JavaScript programming concepts,Michael Chang,2420,79.99,Mid-range,4.7,,,,,
WD016,Frontend JavaScript Frameworks,Programming,Web Development,Intermediate,"Vue.js, Angular Basics, Component Architecture, State Management",JavaScript Essentials,Explore popular JavaScript frameworks beyond React,Amanda Foster,2290,84.99,Mid-range,4.8,,,,,
WD017,JavaScript Testing and Debugging,Programming,Web Development,Intermediate,"Jest, Unit Testing, Browser DevTools, Error Handling, Performance",JavaScript Essentials,Write reliable and maintainable JavaScript code,Trevor Wilson,2650,74.99,Mid-range,4.2,,,,,
WD018,Node.js Backend Development,Programming,Web Development,Intermediate,"Express.js, APIs, Database Integration, Authentication, Deployment",JavaScript Essentials,Build server-side applications with JavaScript,Priya Patel,2380,89.99,Premium,4.4,,,,,
WD019,Modern JavaScript Development,Programming,Web Development,Advanced,"TypeScript, Webpack, Babel, npm/yarn, Code Splitting","JavaScript Essentials, Node.js Knowledge",Professional JavaScript development with modern tooling,Oliver Davis,2150,94.99,Premium,4.3,,,,,
WD004,React Development,Framework,Web Development,Beginner,"React Components, State Management, Hooks, Redux",JavaScript Essentials,Build modern web applications with React,David Kim,2400,99.99,Premium,4.5,,,,,
WD020,React Advanced Patterns,Framework,Web Development,Intermediate,"Higher-Order Components, Render Props, Context API, Custom Hooks",React Development,Master advanced React patterns and best practices,Jessica Zhang,2180,109.99,Premium,4.4,,,,,
WD021,React with TypeScript,Framework,Web Development,Intermediate,"TypeScript Integration, Type Safety, Interface Design, Generic Components",React Development,Build type-safe React applications with TypeScript,Andrew Miller,2050,104.99,Premium,4.6,,,,,
WD022,React State Management,Framework,Web Development,Advanced,"Redux Toolkit, Zustand, React Query, Context Patterns",React Development,Master complex state management in React applications,Samantha Lee,1920,114.99,Premium,4.3,,,,,
WD023,React Testing Strategies,Framework,Web Development,Intermediate,"Jest, React Testing Library, Component Testing, Integration Tests",React Development,Ensure code quality with comprehensive React testing,Benjamin Clark,2240,99.99,Premium,4.4,,,,,
WD024,Full-Stack React Development,Framework,Web Development,Advanced,"Next.js, Server-Side Rendering, API Routes, Database Integration",React Development,Build complete applications with React and Next.js,Victoria Rodriguez,1850,124.99,Premium,4.5,,,,,
BF001,Finance 101,Finance,Business,Beginner,"Financial Statements, Time Value of Money, Risk Analysis",Basic Math,Introduction to financial principles and analysis,Prof. Jennifer Walsh,1650,64.99,Mid-range,4.2,,,,,
BF002,Corporate Finance Fundamentals,Finance,Business,Intermediate,"Capital Budgeting, Cost of Capital, Financial Planning, Valuation","Finance 101, Basic Accounting",Master essential corporate finance concepts and techniques,Dr. Robert Harrison,1420,74.99,Mid-range,4.4,,,,,
BF003,Investment Analysis Basics,Finance,Business,Beginner,"Portfolio Theory, Asset Valuation, Market Analysis, Risk Management","Finance 101, Basic Statistics",Learn to analyze and evaluate investment opportunities,Prof. Sarah Mitchell,1580,69.99,Mid-range,4.3,,,,,
BF004,Personal Financial Planning,Finance,Business,Beginner,"Budgeting, Retirement Planning, Insurance, Tax Strategies",Basic Math,Take control of your personal finances and build wealth,Lisa Chen,1890,59.99,Mid-range,4.5,,,,,
BF005,Financial Markets Overview,Finance,Business,Intermediate,"Stock Markets, Bond Markets, Derivatives, Market Efficiency","Finance 101, Economics Basics",Understand how financial markets operate and function,Dr. Mark Thompson,1520,79.99,Mid-range,4.4,,,,,
BF006,Banking and Credit Fundamentals,Finance,Business,Beginner,"Credit Analysis, Loan Products, Banking Operations, Interest Rates","Finance 101, Basic Math",Navigate the world of banking and credit management,Amanda Williams,1740,64.99,Mid-range,4.6,,,,,
